access_no,Author,Book Name,Stream,publisher,ISBN,year_pub,Image url,Description
46474,SUBRAHMANYAM VEDAM,ELECTRIC DRIVES : CONCEPTS AND APPLICATIONS,Electrical and Electronics Engineering,MCGRAW   HILL,9780070701991,2023,,
46543,VEERARAJAN T,DISCRETE MATHEMATICS WITH GRAPH THEORY AND COMBINATORIES,Science and Humanities,MCGRAW   HILL,9780070616783,2022,,
46421,SINGH RAMESH,INDIAN ECONOMY : FOR CIVIL SERVICES AND OTHER COMPETITIVE EXAMINATIONS,General,MCGRAW HILL,9789355327208,2024,,
46423,LAXMIKANTH M,INDIAN POLITY : FOR CIVIL SERVICES AND STATE SERVICES EXAMINATIONS,General,MCGRAW HILL,9789355325341,2024,,
46440,CENGEL YUNUS A;BOLES MICHAEL A; KANOGLU MEHMET,THERMODYNAMICS : ENGINEERING APPROACH,Mechanical Engineering,MCGRAW HILL,9789353165741,2024,,
46445,CENGEL YUNUS A;GHAJAR AFSHIN J,HEAT AND MASS TRANSFER : FUNDAMENTALS AND APPLICATION,Mechanical Engineering,MCGRAW HILL,9789390185283,2024,,
46460,SINGH RAVISH R,NETWORK ANALYSIS AND SYNTHESIS,Electrical and Electronics Engineering,MCGRAW HILL,9789353166724,2024,,
46505,GROOVER MIKELL P et al.,INDUSTRIAL ROBOTICS : TECHNOLOGY PROGRAMMING AND APPLICATIONS,Automobile Engineering,MCGRAW HILL,9781259006210,2017,,
46519,KHANDPUR R S,TROUBLESHOOTING ELECTRONIC EQUIPMENT : INCLUDES REPAIR AND MAINTENANCE,Electronics and Communication Engineering ,MCGRAW HILL,9780070483576,2019,,"Electronic Equipment are used in various activities. This proliferation has resulted in a demand for and a corresponding shortage of qualified technicians for repair and maintenance. This book covers devices and components related to equipment like test instruments, medical instruments, digital equipment, microcomputers and microprocessor-based equipment. The reader will quickly learn the systematic procedures for identifying causes of faults and the practical methods of repairing them."
46520,KROUS JOHN D: MARHEFA RONALD; KHAN AHMAD,ANTENNAS AND WAVE PROPOGATION,Electronics and Communication Engineering ,MCGRAW HILL,978935260,2018,,
46399,GOWARIKER V R; VISWANATHAN N V; SREEDHAR JAYADEV,POLYMER SCIENCE,Science and Humanities,NEW AGE,9789389802580,2024,,
46522,IRAIANBU V,MOOLAIKKUL SUTRULA (TAMIL),General,NEW CENTURY BOOK HOUSE,97893888050562,2023,,
46525,IRAIANBU V,ENNA PESUVATHU EPPADI PESUVATHU (TAMIL),General,NEW CENTURY BOOK HOUSE,9788196367534,2024,,
46552,DALAL UPENA,WIRELESS COMMUNICATIONS AND NETWORKS,Electronics and Communication Engineering ,OXFORD UNIVERSITY PRESS,9780198098881,2024,,
46415,ROBIN VICKI; DOMINGUEZ JOE,YOUR MONEY OR YOUR LIFE,General,PENGUIN BOOKS,9780143115762,2018,http://books.google.com/books/content?id=i3tXDwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A fully revised edition of one of the most influential books ever written on personal finance with more than a million copies sold “The best book on money. Period.” –Grant Sabatier, founder of “Millennial Money,” on CNBC Make It ""This is a wonderful book. It can really change your life."" -Oprah For more than twenty-five years, Your Money or Your Life has been considered the go-to book for taking back your life by changing your relationship with money. Hundreds of thousands of people have followed this nine-step program, learning to live more deliberately and meaningfully with Vicki Robin’s guidance. This fully revised and updated edition with a foreword by ""the Frugal Guru"" (New Yorker) Mr. Money Mustache is the ultimate makeover of this bestselling classic, ensuring that its time-tested wisdom applies to people of all ages and covers modern topics like investing in index funds, managing revenue streams like side hustles and freelancing, tracking your finances online, and having difficult conversations about money. Whether you’re just beginning your financial life or heading towards retirement, this book will show you how to: • Get out of debt and develop savings • Save money through mindfulness and good habits, rather than strict budgeting • Declutter your life and live well for less • Invest your savings and begin creating wealth • Save the planet while saving money • …and so much more! ""The seminal guide to the new morality of personal money management."" -Los Angeles Times"
46480,MURTY SUDHA,HERE THERE AND EVERYWHERE,General,PENGUIN BOOKS,9780143444343,2023,http://books.google.com/books/content?id=KS_8twEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Autobiographical anecdotes on the life of the Kannada writer.
46481,SONI PAVAN,DESIGN YOUR THINKING : MINDSETS TOOLSETS AND SKILL SETS FOR CREATIVE PROBLEMS SOLVING,General,PENGUIN BOOKS,9780670094097,2022,,
46362,VENKATESH P,ELECTRICAL POWER SYSTEMS : ANALYSIS SECURITY AND DEREGULATION,Electrical and Electronics Engineering,PRENTICE HALL OF INDIA,9788120353305,2024,http://books.google.com/books/content?id=Fo9WswEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This textbook introduces electrical engineering students to the most relevant concepts and techniques in three major areas today in power system engineering, namely analysis, security and deregulation. The book carefully integrates theory and practical applications. It emphasizes power flow analysis, details analysis problems in systems with fault conditions, and discusses transient stability problems as well. In addition, students can acquire software development skills in MATLAB and in the usage of state-of-the-art software tools such as Power World Simulator (PWS) and Siemens' PSS/E. The book is interspersed with problems for a sound understanding of various aspects of power systems. The questions at the end of each chapter are provided to reinforce the knowledge of students as well as prepare them from the examination point of view. The book will be useful to both the undergraduate students of electrical engineering and postgraduate students of power engineering and power management in several courses such as Power System Analysis, Electricity Deregulation, Power System Security, Restructured Power Systems, as well as laboratory courses in Power System Simulation. New to the Second Edition: Includes a new topic in Chapter 11, i.e., Sensitivity of Network Uncertainties on ATC Determination. Incorporates a new Chapter 13 on Transmission Congestion Management. Provides MATLAB programs for interior point method and Lagrangian multiplier method."
46367,ANAND KUMAR A,FUNDAMENTALS OF DIGITAL CIRCUITS,Electronics and Communication Engineering ,PRENTICE HALL OF INDIA,9788120352681,2024,http://books.google.com/books/content?id=CyavDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"The Fourth edition of this well-received text continues to provide coherent and comprehensive coverage of digital circuits. It is designed for the undergraduate students pursuing courses in areas of engineering disciplines such as Electrical and Electronics, Electronics and Communication, Electronics and Instrumentation, Telecommunications, Medical Electronics, Computer Science and Engineering, Electronics, and Computers and Information Technology. It is also useful as a text for MCA, M.Sc. (Electronics) and M.Sc. (Computer Science) students. Appropriate for self study, the book is useful even for AMIE and grad IETE students. Written in a student-friendly style, the book provides an excellent introduction to digital concepts and basic design techniques of digital circuits. It discusses Boolean algebra concepts and their application to digital circuitry, and elaborates on both combinational and sequential circuits. It provides numerous fully worked-out, laboratory tested examples to give students a solid grounding in the related design concepts. It includes a number of short questions with answers, review questions, fill in the blanks with answers, multiple choice questions with answers and exercise problems at the end of each chapter. As the book requires only an elementary knowledge of electronics to understand most of the topics, it can also serve as a textbook for the students of polytechnics, B.Sc. (Electronics) and B.Sc. (Computer Science). NEW TO THIS EDITION Now, based on the readers’ demand, this new edition incorporates VERILOG programs in addition to VHDL programs at the end of each chapter."
46397,DEB KALYANMOY,OPTIMIZATION FOR ENGINEERING DESIGN : ALGORITHMS AND EXAMPLES,Science and Humanities,PRENTICE HALL OF INDIA,9788120346789,2023,http://books.google.com/books/content?id=cN_kjtySMhIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This well-received book, now in its second edition, continues to provide a number of optimization algorithms which are commonly used in computer-aided engineering design. The book begins with simple single-variable optimization techniques, and then goes on to give unconstrained and constrained optimization techniques in a step-by-step format so that they can be coded in any user-specific computer language. In addition to classical optimization methods, the book also discusses Genetic Algorithms and Simulated Annealing, which are widely used in engineering design problems because of their ability to find global optimum solutions. The second edition adds several new topics of optimization such as design and manufacturing, data fitting and regression, inverse problems, scheduling and routing, data mining, intelligent system design, Lagrangian duality theory, and quadratic programming and its extension to sequential quadratic programming. It also extensively revises the linear programming algorithms section in the Appendix. This edition also includes more number of exercise problems. The book is suitable for senior undergraduate/postgraduate students of mechanical, production and chemical engineering. Students in other branches of engineering offering optimization courses as well as designers and decision-makers will also find the book useful. Key Features Algorithms are presented in a step-by-step format to facilitate coding in a computer language. Sample computer programs in FORTRAN are appended for better comprehension. Worked-out examples are illustrated for easy understanding. The same example problems are solved with most algorithms for a comparative evaluation of the algorithms."
46548,NAVAS K A,ELECTRONICS LAB MANUAL,Electronics and Communication Engineering ,PRENTICE HALL OF INDIA,9788120351424,2022,http://books.google.com/books/content?id=Y4CQCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This lab manual is intended to support the students of undergraduate engineering in the related fields of electronics engineering for practicing laboratory experiments. It will also be useful to the undergraduate students of electrical science branches of engineering and applied science. This book begins with an introduction to the electronic components and equipment, and the experiments for electronics workshop. Further, it covers experiments for basic electronics lab, electronic circuits lab and digital electronics lab. A separate chapter is devoted to the simulation of electronics experiments using PSpice. Each experiment has aim, components and equipment required, theory, circuit diagram, tables, graphs, alternate circuits, answered questions and troubleshooting techniques. Answered viva voce questions and solved examination questions given at the end of each experiment will be very helpful for the students. The purpose of the experiments described here is to acquaint the students with: • Analog and digital devices • Design of circuits • Instruments and procedures for electronic test and measurement"
46550,NAVAS K A,ELECTRONICS LAB MANUAL,Electronics and Communication Engineering ,PRENTICE HALL OF INDIA,9789388028080,2019,,
46557,PANNEERSELVAM R,RESEARCH METHODOLOGY,General,PRENTICE HALL OF INDIA,9788120349469,2024,http://books.google.com/books/content?id=-pBeBAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"This comprehensive text designed for MBA, MCom, MA (Economics), MA (Sociology) and PhD (Management, Commerce, Economics, and Engineering) courses continues to give complete account of concepts and statistical tools of research methodology in its Second Edition. The textbook also serves as a reference for consultants to carryout projects/consultancies in industries or service organizations. DISTINGUISHING FEATURES OF THE BOOK • Written in an easy to read style • Each technique is illustrated with sufficient number of numerical examples • Gives complete account of statistics and aspects of research methodology • Chapter 8 gives complete account of testing of hypotheses • Design and analysis of experiments, advanced multivariate analysis, multidimensional scaling and conjoint analysis, algorithmic research, models for industries and public systems, simulation are unique to this text. • Graded chapter-end questions NEW TO THIS EDITION Introduction of a chapter on SPSS (Chapter 17), is new to this edition which gives readers an idea to obtain statistics for different techniques presented in this text. The different screenshots for different modules of SPSS applied to suitable example problems on sample session for data creation, reports, descriptive statistics, tables, compare means, general linear model, correlation, simple regression, nonparametric tests, classify, data reduction and graphs help readers to understand the features of SPSS. AUDIENCE • MBA • MCom • MA (Economics) • MA (Sociology) and • PhD (Management, Commerce, Economics, and Engineering)"
46377,SINGH SADHU,HANDBOOK OF MECHANICAL ENGINEERING,Mechanical Engineering,S CHAND & COMPANY,9788121935876,2018,http://books.google.com/books/content?id=XE1LAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Handbook of Mechanical Engineering is a comprehensive text for the students of B.E./B.Tech. and the candidates preparing for various competitive examination like IES/IFS/ GATE State Services and competitive tests conducted by public and private sector organization for selecting apprentice engineers.
46504,RIGGS JAMES L;BEDWORTH DAVID D; RANDHAWA SABAH,ENGINEERING ECONOMICS,Management,TATA MCGRAW HILL,9780070586703,2011,,
46401,SIVANANDAM S N;DEEPA S N; RIZWANA J,POWER SYSTEM ANALYSIS AND STABILITY,Electrical and Electronics Engineering,Vikas Publishing House,9789325974135,2014,,
46405,ANAND P A,QUANTITATIVE APTITUDE,General,WILEY,9788126549306,2016,,
46429,HARINI N;SHYAMALA C K;PADMANABHAN T R,CRYPTOGRAPHY AND SECURITY,Computer Science and Engineering,WILEY,9788126522859,2024,,
46437,GOODRICH MICHAEL;TAMASSIA ROBERTO; GOLDWASSER MICHAEL H,DATA STRUCTURES AND ALGORITHMS IN JAVA,Computer Science and Engineering,WILEY,9789354247934,2024,,
46446,GOODRICH MICHAEL T;TAMASSIA ROBERTO; GOLDWASSER MICHAEL H,DATA STRUCTURES AND ALGORITHMS IN PYTHON,Computer Science and Engineering,WILEY,9789354247866,2024,,
46448,MAINI ANIL K;AGRAWAL VARSHA,ELECTRONIC DEVICES AND CIRCUITS,Electronics and Communication Engineering ,WILEY,9788126578085,2019,,
46451,HAYKIN SIMON;MOHER MICHAEL,INTRODUCTION TO ANALOG AND DIGITAL COMMUNICATIONS,Electronics and Communication Engineering ,WILEY,9789354644337,2024,,
46456,UMA RAO K,POWER SYSTEM OPERATION AND CONTROL,Electrical and Electronics Engineering,WILEY,9788126534418,2021,,
46467,MEULLER JOHN PAUL;MASSARON LUCA,MACHINE LEARNING FOR DUMMIES,Computer Science and Engineering,WILEY,9788126563050,2024,,
46425,TAULLI TOM,ROBOTIC PROCESS AUTOMATION HANDBOOK : GUIDE TO IMPLEMENTING RPA SYSTEMS,Automobile Engineering,A PRESS,9781484275306,2025,,
46381,GUPTA MADHAVI,INSTALLATION MAINTENANCE AND REPAIR OF ELECTRIC MACHINES AND EQUIPMENT,Electrical and Electronics Engineering,S K KATARIA & SONS,9789350145463,2022,,
46410,COELHO PAULO,ALCHEMIST : FABLE ABOUT FOLLOWING YOUR DREAM,General,THORSONS,9780008144227,2015,http://books.google.com/books/content?id=6bBPrgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A global phenomenon, The Alchemist has been read and loved by over 62 million readers, topping bestseller lists in 74 countries worldwide. Now this magical fable is beautifully repackaged in an edition that lovers of Paulo Coelho will want to treasure forever. Every few decades a book is published that changes the lives of its readers forever. This is such a book - a beautiful parable about learning to listen to your heart, read the omens strewn along life's path and, above all, follow your dreams. Santiago, a young shepherd living in the hills of Andalucia, feels that there is more to life than his humble home and his flock. One day he finds the courage to follow his dreams into distant lands, each step galvanised by the knowledge that he is following the right path: his own. The people he meets along the way, the things he sees and the wisdom he learns are life-changing. With Paulo Coelho's visionary blend of spirituality, magical realism and folklore, The Alchemist is a story with the power to inspire nations and change people's lives."
46454,NEWEY ADRIAN,HOW TO BUILD A CAR,Automobile Engineering,Harper Collins  Publishers,9780008196806,2017,http://books.google.com/books/content?id=Sm3NAQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"'Adrian has a unique gift for understanding drivers and racing cars. He is ultra competitive but never forgets to have fun. An immensely likeable man.' Damon Hill The world's foremost designer in Formula One, Adrian Newey OBE is arguably one of Britain's greatest engineers and this is his fascinating, powerful memoir. How to Build a Car explores the story of Adrian's unrivalled 35-year career in Formula One through the prism of the cars he has designed, the drivers he has worked alongside and the races in which he's been involved. A true engineering genius, even in adolescence Adrian's thoughts naturally emerged in shape and form - he began sketching his own car designs at the age of 12 and took a welding course in his school summer holidays. From his early career in IndyCar racing and on to his unparalleled success in Formula One, we learn in comprehensive, engaging and highly entertaining detail how a car actually works. Adrian has designed for the likes of Mario Andretti, Nigel Mansell, Alain Prost, Damon Hill, David Coulthard, Mika Hakkinen, Mark Webber and Sebastian Vettel, always with a shark-like purity of purpose: to make the car go faster. And while his career has been marked by unbelievable triumphs, there have also been deep tragedies; most notably Ayrton Senna's death during his time at Williams in 1994. Beautifully illustrated with never-before-seen drawings, How to Build a Car encapsulates, through Adrian's remarkable life story, precisely what makes Formula One so thrilling - its potential for the total synchronicity of man and machine, the perfect combination of style, efficiency and speed."
46385,CHIKSHE SANKEL S; HIWASE VINOD,TEXTBOOK OF MODERN MACHINING PROCESSES,Mechanical Engineering,NIRALI PRAKASHAN,9395951003,2022,,
46389,TUNSTALL LEWIS; WERRA LEANDRO VON; WOLF THOMAS,NATURAL LANGUAGE PROCESSING WITH TRANSFORMERS : BUILDING LANGUAGE APPLICATIONS WITH HUGGING FACE,Computer Science and Engineering,O REILLY,9789355420329,2023,,
46476,WADHWA VIVEK; SALKEVER ALEX,DRIVER IN THE DRIVERLESS CAR : HOW OUR TECHNOLOGY CHOICES WILL CREATE THE FUTURE,Automobile Engineering,HARPER BUSINESS,9789353026929,2020,,
46375,RABINER LAWRENCE;JUANG BIING HWANG;YEGNANARAYANA B,FUNDAMENTALS OF SPEECH RECOGNITION,Computer Science and Engineering,PEARSON,9788177585605,2009,,
46508,TURBAN EFRAIN,BUSINESS INTELLIGENCE : MANAGERIAL APPROACH,Computer Science and Engineering,PEARSON,9789332518148,2015,,
46532,GREGG MICHAEL; SANTOS OMAR,CERTIFIED ETHICAL HACKER (CEH) VERSION 10 CERT GUIDE,Computer Science and Engineering,PEARSON,97893553946333,2024,,
46534,MORRIS MANO M;CILETTI MICHAEL D,DIGITAL DESIGN : WITH AN INTRODUCTION TO THE VERILOG HDL VHDL AND SYSTEM VERILOG,Electronics and Communication Engineering ,PEARSON,9789353062019,2024,,
46537,WAKERLY JOHN F,DIGITAL DESIGN : PRINCIPLES AND PRACTICES,Electronics and Communication Engineering ,PEARSON,9788131713662,2013,http://books.google.com/books/content?id=ulWcq_yv0WkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Appropriate for a first or second course in digital logic design. Blends academic precision and practical experience in an authoritative introduction to basic principles of digital design and practical requirements. With over 30 years of experience in both industrial and university settings, the author covers the most widespread logic design practices while building a solid foundation of theoretical and engineering principles for students to use as they go forward in this fast moving field."
46538,WAKERLY JOHN F,DIGITAL DESIGN : PRINCIPLES AND PRACTICES,Electronics and Communication Engineering ,PEARSON,9788131713662,2022,http://books.google.com/books/content?id=ulWcq_yv0WkC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Appropriate for a first or second course in digital logic design. Blends academic precision and practical experience in an authoritative introduction to basic principles of digital design and practical requirements. With over 30 years of experience in both industrial and university settings, the author covers the most widespread logic design practices while building a solid foundation of theoretical and engineering principles for students to use as they go forward in this fast moving field."
46494,MURPHY JOSEPH,BELIEVE IN YOURSELF,General,MANJUL PUBLISHING,9788183225690,2024,,
46499,KARUMANCHI NARASIMHA,DATA STRUCTURES AND ALGORITHMS MADE EASY,Computer Science and Engineering,CAREERMONK,,2023,,
46383,SINGH V P; PRATAP RAVEESH,MECHANICAL VIBRATIONS : MODERN APPROACH,Mechanical Engineering,DHANPAT RAI & CO,9788177000313,2021,,
46562,CHOUDHARY RAJIV KUMAR,PATENT LAW AND PRACTICE INCLUDING PATENTS ACT 1970 & PATENT RULES 2003,Management,BHARAT LAW HOUSE PVT LTD,9788196617196,2024,,
46556,SOOTA ASHOK; GOPALAN S R,ENTREPRENEURSHIP SIMPILIFIED FROM IDEA TO IPA,Management,PENGUIN RANDOM HOUSE,9780670088959,2016,,
46418,TAYADE PRITI,DESIGN MASTER KEY : CONCISE INTERPRETATION OF THE DESIGN,Management,NOTION PRESS,9798894989679,,,
46412,SEITZ JUSTIN; ARNOLD TIM,BLACK HAT PYTHON : PYTHON PROGRAMMING FOR HACKERS AND PENTESTERS,Computer Science and Engineering,NO STARCH PRESS,9781718501126,2021,http://books.google.com/books/content?id=WjsiEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Fully-updated for Python 3, the second edition of this worldwide bestseller (over 100,000 copies sold) explores the stealthier side of programming and brings you all new strategies for your hacking projects. When it comes to creating powerful and effective hacking tools, Python is the language of choice for most security analysts. In this second edition of the bestselling Black Hat Python, you’ll explore the darker side of Python’s capabilities: everything from writing network sniffers, stealing email credentials, and bruteforcing directories to crafting mutation fuzzers, investigating virtual machines, and creating stealthy trojans. All of the code in this edition has been updated to Python 3.x. You’ll also find new coverage of bit shifting, code hygiene, and offensive forensics with the Volatility Framework as well as expanded explanations of the Python libraries ctypes, struct, lxml, and BeautifulSoup, and offensive hacking strategies like splitting bytes, leveraging computer vision libraries, and scraping websites. You’ll even learn how to: Create a trojan command-and-control server using GitHub Detect sandboxing and automate common malware tasks like keylogging and screenshotting Extend the Burp Suite web-hacking tool Escalate Windows privileges with creative process control Use offensive memory forensics tricks to retrieve password hashes and find vulnerabilities on a virtual machine Abuse Windows COM automation Exfiltrate data from a network undetected When it comes to offensive security, you need to be able to create powerful tools on the fly. Learn how with Black Hat Python."
